"ID","Region","Regulated Dam","Primary Purpose","Primary Type","Years Modified","Spillway","Hazard","Assessment","Height (m)","Length (km)","Volume (m3)","Year Completed","Surface (km2)","Drainage (km2)","Last Inspection Date","Inspection Frequency","Distance to Nearest City (km)","Assessment Date","Probability of Failure","Loss given failure - prop (Qm)","Loss given failure - liab (Qm)","Loss given failure - BI (Qm)"
"SOAD00072","Navaldia","Yes","Recreation","Earth","2011O","Uncontrolled","Significant","Satisfactory",0,0.2,300,1934,0.02364,2.66329,2015-08-11,2,24.97,2020-03-10,0.1258,20.8,296.9,8.1
"SOAD00380","Navaldia","No","Flood Risk Reduction","Earth","2014S","Uncontrolled","High","Not Available",2.713,6.867,0,1927,8.6286,647.17947,2018-11-07,5,0,2017-10-24,0.0757,930.5,727.5,17.4
"SOAD00610","Navaldia","Yes","Recreation","Earth","2011O","Uncontrolled","Significant","Satisfactory",0,0.157,3825,1977,0.44522,13.31645,2019-04-25,2,10.7,2022-07-15,0.1375,355.5,427.3,8.6
"SOAD00862","Navaldia","Yes","Recreation","Earth","2008O","Uncontrolled","Significant","Not Rated",0,0.2,24442,1905,0.25216,10.65316,2014-07-24,2,94.79,2014-06-18,0.1403,295.1,25.3,8.5
"SOAD02091","Lyndrassia","Yes","Recreation","Earth","2008","Uncontrolled","High","Not Rated",13.921,0.2,25900,1981,0.04728,2151.93832,2021-09-24,3,16.43,2022-08-29,0.0998,11.5,203,5.6
"SOAD02227","Lyndrassia","Yes","Recreation","Earth","1993","Uncontrolled","High","Unsatisfactory",14.332,0.127,69100,1998,0.06107,2.66329,2009-12-03,5,0.79,2014-06-18,0.1283,11.5,733.7,8.2
"SOAD02335","Lyndrassia","Yes","Recreation","Earth","1987","Uncontrolled","High","Unsatisfactory",12.526,0.17,0,2005,0.04137,452.7593,1981-01-21,0,0,2014-06-18,0.1394,7.3,248.5,9.5
"SOAD02636","Flumevale","No","Water Supply","Concrete","1968M","Controlled","Significant","Not Rated",2.018,0.017,6111,1968,0.60676,7.98987,2013-10-24,2,8.16,2007-12-19,0.1547,416.3,441.8,52.6
"SOAD02906","Flumevale","Yes","Hydroelectric","Earth","1991","Controlled","High","Not Available",0,0.082,15650,1947,0.01773,2.66329,2020-08-05,1,0,2020-09-17,0.1355,30.6,651.4,7.5
"SOAD03530","Lyndrassia","Yes","Water Supply","Earth","2010","Uncontrolled","High","Satisfactory",26.547,0.933,11345000,1992,19.1484,29.29619,2020-11-12,1,7.06,2017-08-07,0.0853,814.7,277.8,53.4
"SOAD03835","Flumevale","No","Recreation","Concrete","2010M","Uncontrolled","High","Not Rated",18.142,0.224,90000,1908,1.35733,322.25809,2020-09-15,1,5,2023-04-11,0.0891,486.8,794.9,8.9
"SOAD04339","Navaldia","Yes","Recreation","Earth","2011S","Uncontrolled","Significant","Fair",8.084,0.14,74445,1965,0.52993,2.66329,2017-06-26,2,15.67,2020-08-18,0.1198,463.4,228.2,5.1
"SOAD04980","Navaldia","Yes","Flood Risk Reduction","Earth","2013S","Uncontrolled","High","Not Rated",0,0.1,0,1910,3.13033,7.98987,2021-02-26,1,3.12,2017-09-01,0.1131,874,743.5,5.7
"SOAD05158","Navaldia","Yes","Recreation","Earth","2007S","Uncontrolled","Significant","Fair",4.848,0.07,22541,1960,0.00788,2.66329,2018-03-02,2,44.91,2022-11-29,0.1556,13.9,25.1,2.9
"SOAD05688","Navaldia","Yes","Irrigation","Earth","2016H","Uncontrolled","Significant","Satisfactory",0,0.133,15500,1956,4.27293,2.66329,2021-03-03,2,38,2016-08-29,0.1126,106.2,189.6,47.1
"SOAD05705","Flumevale","No","Recreation","Earth","1989O","Uncontrolled","Significant","Not Rated",8.746,0.1,15000,1950,0.2561,10.65316,2015-10-22,5,83.19,2015-03-03,0.1355,107,74.2,6.1
"SOAD06129","Navaldia","No","Flood Risk Reduction","Rockfill","2018H","Uncontrolled","High","Not Available",10,3.913,723000,1979,16.79228,1651.2398,2021-07-15,5,5.02,2015-08-31,0.0598,622.1,806,4.4
"SOAD06421","Lyndrassia","Yes","Recreation","Earth","2000","Uncontrolled","High","Not Rated",18.441,0.15,0,2001,0.04531,322.25809,2021-06-29,3,8.09,2021-08-09,0.0837,27.3,278.2,8.1
"SOAD07112","Flumevale","No","Irrigation","Earth","1983","Controlled","Significant","Not Rated",7.961,0.262,9180,1918,1.16821,0,2015-09-28,5,110.62,2021-10-05,0.1108,219.6,160.6,38.9
"SOAD07546","Lyndrassia","Yes","Tailings","Earth","1995S;1999S","Uncontrolled","High","Satisfactory",16.22,0.283,260000,1954,0.3152,21.30632,2022-06-16,3,1.67,2019-04-10,0.0736,615.9,700.1,24.6
"SOAD07646","Flumevale","No","Other","Rockfill","2012H","Uncontrolled","Significant","Not Rated",4.43,0.023,41282,1899,0.53584,2.66329,2020-08-13,2,8.43,2021-12-19,0.1495,301.1,118.8,8
